        时间          AD值     mor值    发射机温度    发射机湿度   接收机温度  接收机湿度 
2017/01/06 17:20:34    4601       12          18           28            21          19
2017/01/06 17:20:35    4601       58108          18           28            21          19
2017/01/06 17:20:36    4601       524          18           28            21          19
2017/01/06 17:20:41    249       524          18           28            21          19
2017/01/06 17:20:42    4601       12          242           35            165          52
2017/01/06 17:20:42    4601       12          242           35            165          52
2017/01/06 17:20:42    4601       12          242           35            21          19
2017/01/06 17:20:42    4601       12          242           28            21          19
2017/01/06 17:20:42    4601       12          18           28            21          19
2017/01/06 17:20:42    4601       58108          18           28            21          19
2017/01/06 17:20:42    4601       524          18           28            21          19
2017/01/06 17:20:42    249       524          18           28            21          19
2017/01/06 17:20:43    4601       12          242           35            165          52
2017/01/06 17:20:43    4601       12          242           35            165          52
2017/01/06 17:20:43    4601       12          242           35            21          19
2017/01/06 17:20:43    4601       12          242           28            21          19
2017/01/06 17:20:43    4601       12          18           28            21          19
2017/01/06 17:20:43    4601       58108          18           28            21          19
2017/01/06 17:20:43    4601       524          18           28            21          19
2017/01/06 17:20:43    249       524          18           28            21          19
2017/01/06 17:20:43    4601       12          242           35            165          52
2017/01/06 17:20:44    4601       12          242           35            165          52
2017/01/06 17:20:44    4601       12          242           35            21          19
2017/01/06 17:20:44    4601       12          242           28            21          19
2017/01/06 17:20:44    4601       12          18           28            21          19
2017/01/06 17:20:44    4601       58108          18           28            21          19
2017/01/06 17:20:44    4601       524          18           28            21          19
2017/01/06 17:20:44    249       524          18           28            21          19
2017/01/06 17:20:44    4601       12          242           35            165          52
2017/01/06 17:20:45    4601       12          242           35            165          52
2017/01/06 17:20:45    4601       12          242           35            21          19
2017/01/06 17:20:45    4601       12          242           28            21          19
2017/01/06 17:20:45    4601       12          18           28            21          19
2017/01/06 17:20:45    4601       58108          18           28            21          19
2017/01/06 17:20:45    4601       524          18           28            21          19
2017/01/06 17:20:45    249       524          18           28            21          19
2017/01/06 17:20:45    4601       12          242           35            165          52
2017/01/06 17:20:46    4601       12          242           35            165          52
2017/01/06 17:20:46    4601       12          242           35            21          19
2017/01/06 17:20:46    4601       12          242           28            21          19
2017/01/06 17:20:46    4601       12          18           28            21          19
2017/01/06 17:20:46    4601       58108          18           28            21          19
2017/01/06 17:20:46    4601       524          18           28            21          19
2017/01/06 17:20:46    249       524          18           28            21          19
2017/01/06 17:20:46    4601       12          242           35            165          52
2017/01/06 17:20:47    4601       12          242           35            165          52
2017/01/06 17:20:47    4601       12          242           35            21          19
2017/01/06 17:20:47    4601       12          242           28            21          19
2017/01/06 17:20:47    4601       12          18           28            21          19
2017/01/06 17:20:47    4601       58108          18           28            21          19
2017/01/06 17:20:47    4601       524          18           28            21          19
2017/01/06 17:20:47    249       524          18           28            21          19
2017/01/06 17:20:47    4601       12          242           35            165          52
2017/01/06 17:20:47    4601       12          242           35            165          52
2017/01/06 17:20:48    4601       12          242           35            21          19
2017/01/06 17:20:48    4601       12          242           28            21          19
2017/01/06 17:20:48    4601       12          18           28            21          19
2017/01/06 17:20:48    4601       58108          18           28            21          19
2017/01/06 17:20:48    4601       524          18           28            21          19
2017/01/06 17:20:48    249       524          18           28            21          19
2017/01/06 17:20:48    4601       12          242           35            165          52
2017/01/06 17:20:48    4601       12          242           35            165          52
2017/01/06 17:20:49    4601       12          242           35            21          19
2017/01/06 17:20:49    4601       12          242           28            21          19
2017/01/06 17:20:49    4601       12          18           28            21          19
2017/01/06 17:20:49    4601       58108          18           28            21          19
2017/01/06 17:20:49    4601       524          18           28            21          19
2017/01/06 17:20:49    249       524          18           28            21          19
2017/01/06 17:20:49    4601       12          242           35            165          52
2017/01/06 17:20:49    4601       12          242           35            165          52
2017/01/06 17:20:49    4601       12          242           35            21          19
2017/01/06 17:20:50    4601       12          242           28            21          19
2017/01/06 17:20:50    4601       12          18           28            21          19
